Variable Name,Descripción Español,Translation,,
COMUNIDAD1,,Community name,,
Fam,,Family name,,
CODIGO14,,Participant code,,
NOMBRES_APELLIDOS,,Full Name,,
FECHA_NAC,,Date of Birth,,
SEXO,,Sex,,
FECHA_INTERV12,,Date of Visit,,
EDAD12,,Age in years or months 2012,,
Ascaris12,,positive for this Ascaris (present in feces sample),,
Blastocystis12,,positive for Blastocystis (present in feces sample),,
Giardia12 ,,positive for Giardia (present in feces sample),,
Trichuris12,,positive for Trichuris (present in feces sample),,
Uncinaria12,,positive for Uncinaria (present in feces sample),,
Strongyloides12,,positive for Strongyloides (present in feces sample),,
Enterobius12,,Positive for Enterobius (present in feces sample),,
Hymenolepis_nana12,,Positive for Hymenolepis nana (present in feces sample),,
PESO12,,Weight (kg) in 2012,,
Talla12,,Height (cm) in 2012,,
WAZ12,,Weight for Age Z Score in 2012,,
waz_Desc12,,Weight for Age Z Score Description 2012,,
HAZ12,,Height for Age Z Score in 2012 ,,
haz_Desc12,,Height for Age Z Score Description 2012,,
BAZ12,,BMI for Age Z Score in 2012,,
baz_Desc12,,BMI for Age Z Score Description in 2012,,
IMC_Form12,,,,
HB12,,Hemoglobin 2012,,
ANEMIA12,,anemia (classified according to age and sex) 2012,,
FECHA_INTERV14,,Date of Visit 2014,,
EDAD14,,Age in 2014,,
Ascaris14,,positive for this Ascaris (present in feces sample),,
Blastocystis14,,positive for Blastocystis (present in feces sample),,
Giardia14,,positive for Giardia (present in feces sample),,
Trichuris14,,positive for Trichuris (present in feces sample),,
Uncinaria14,,positive for Uncinaria (present in feces sample),,
Strongyloides14,,positive for Strongyloides (present in feces sample),,
Enterobius14,,Positive for Enterobius (present in feces sample),,
Hymenolepis_nana14,,Positive for Hymenolepis nana (present in feces sample),,
PESO14,,Weight in 2014,,
Talla14,,Height in 2014,,
WAZ14,,Weight for Age Z Score in 2014,,
waz_Desc14,,Weight for Age Z Score Description 2014,,
HAZ14,,Height for Age Z Score in 2014 ,,
haz_Desc14,,Height for Age Z Score Description 2014,,
BAZ14,,BMI for Age Z Score in 2014,,
baz_Desc14,,BMI for Age Z Score Description in 2014,,
IMC_Form14,,,,
Hb14,,Hemoglobin 2014,,
ANEMIA14,,anemia (classified according to age and sex) 2014,,
FECHA_INTERV15,,Date of Visit 2015,,
EDAD15,,Age in 2015,,
Ascaris15,,positive for this Ascaris (present in feces sample),,
Blastocystis15,,positive for Blastocystis (present in feces sample),,
Giardia15,,positive for Giardia (present in feces sample),,
Trichuris15,,positive for Trichuris (present in feces sample),,
Uncinaria15,,positive for Uncinaria (present in feces sample),,
Strongyloides15,,positive for Strongyloides (present in feces sample),,
Enterobius15,,Positive for Enterobius (present in feces sample),,
Hymenolepis_nana15,,Positive for Hymenolepis nana (present in feces sample),,
PESO15,,Weight in 2015,,
TALLA15,,Height in 2015,,
WAZ15,,Weight for Age Z Score in 2015,,
waz_Desc15,,Weight for Age Z Score Description 2015,,
HAZ15,,Height for Age Z Score in 2015 ,,
haz_Desc15,,Height for Age Z Score Description 2015,,
BAZ15,,BMI for Age Z Score in 2015,,
baz_Desc15,,BMI for Age Z Score Description in 2015,,
IMC_Form15,,,,
Hb15,,Hemoglobin 2015,,
ANEMIA15,,Anemia (classified according to age and sex) 2015,,
FECHA_INTERV15_2,,Date of Visit 2 2015,,
Ascaris15_2,,positive for this Ascaris (present in feces sample),,
Blastocystis15_2,,positive for Blastocystis (present in feces sample),,
Giardia15_2,,positive for Giardia (present in feces sample),,
Trichuris15_2,,positive for Trichuris (present in feces sample),,
Uncinaria15_2,,positive for Uncinaria (present in feces sample),,
Strongyloides15_2,,positive for Strongyloides (present in feces sample),,
Enterobius15_2,,Positive for Enterobius (present in feces sample),,
Hymenolepis_nana15_2,,Positive for Hymenolepis nana (present in feces sample),,
FECHA_INTERV19,,Date of Visit 2019,,
EDAD19,,Age in 2019,,
Ascaris19,,positive for this Ascaris (present in feces sample),,
Blastocystis19,,positive for Blastocystis (present in feces sample),,
Giardia19,,positive for Giardia (present in feces sample),,
Trichuris19,,positive for Trichuris (present in feces sample),,
Uncinaria19,,positive for Uncinaria (present in feces sample),,
Strongyloides19,,positive for Strongyloides (present in feces sample),,
Enterobius19,,Positive for Enterobius (present in feces sample),,
Hymenolepis_nana19,,Positive for Hymenolepis nana (present in feces sample),,
PESO19,,Weight in 2019,,
Talla19,,Height in 2019,,
WAZ19,,Weight for Age Z Score in 2019,,
waz_Desc19,,Weight for Age Z Score Description 2019,,
HAZ19,,Height for Age Z Score in 2019 ,,
haz_Desc19,,Height for Age Z Score Description 2019,,
BAZ19,,BMI for Age Z Score in 2019,,
baz_Desc19,,BMI for Age Z Score Description in 2019,,
IMC_Form19,,,,
HB19,,Hemoglobin 2019,,
ANEMIA19,,Anemia (classified according to age and sex) 2019,,
Hto19-EQ(hemocue)%,,HTO% 2019 (hemocue),,
Hto19(capilar)%,,HTO % 2019 (capilar),,
Rec_tra_antipara_19,,Received anti-parasite treatment 2019,,
FECHA_INTERV_2021,,Date of Intervention 2021,,
edad_2021,,Age in 2021,,
parentesco,,kinship,,
tiene_pileta_si_1_no_0_compartido_2,,Has a sink_yes_1_no_0_shared_2,,
funciona_pileta_si_1_no_0,,Sink works_yes_1_no_0,,
agua_segura_pileta_si_1_no_0_nosabe_2,,Safe sink water_yes_1_no_0,,
faltoagua_recientementepileta_si_1_no_0_no sabe_2_no dato_-1,,Sink without water recently_yes_1_no_0,,
si_hacecuantotiempo_dias_aveces_99_1000_hace poco,,If yes_for how long_dias_sometimes_99_1000_recently,,
porcuantotiempo_dias,,For how long_days,,
nohaypileta_dedondeagua_manante,,There is no sink_spring,,
nohaypileta_dedondeagua_quebrada,,There is no sink_brook,,
nohaypileta_dedondeagua_rio,,There is no sink_river,,
nohaypileta_dedondeagua_otro,,There is no sink_other,,
fueracasa_aguatoma_llevasin hervir,,Drinks water outside the home_without boiling,,
fueracasa_aguatoma_llevaHervida,,Drinks water outside the home_boils,,
fueracasa_aguatoma_otro,,Drinks water outside of the home_other,,
agua_comolotomasfuera_sinhervir_1_hervido_2,,,,
tienes_sed_dondetomasagua_notoma_0_pileta_1_quebrada_2_almacenada_3_piletaquebrada_4_otro_5,,"When you are thirsty, where do you drink water from_does not drink_0_sink_1_brook_2_stored_3_broken sink_4_other_5",,
dedondemas_otrousoagua,,,,
cuando_tomastedire_manante,,,,
cuando_tomastedire_quebrada,,,,
cuando_tomastedirec_rio,,,,
tomo_hace_dias_aveces_99_1000_hacepoco_-1_nodato,,,,
tomas_otrabebida_chapo,,,,
tomas_otrabebida_limonada,,Drink other drink_lemonade,,
tomas_otrabebida_gaseosa,,Drink other drink_soda,,
tomas_otrabebida_masato,,Drink other drink_masato,,
otrasbebidas,,Other drinks,,
prepamasato_aguapileta_1_aguaquebrada2_piletaquebrada_3_reservorio_4_otro_5,,Prepares masato with_water from sink_1_water from brook_2_broken sink_3_resevoir_4_other_5,,
ultimavez_tomastemasateada_hacedias_1000_hacepoco,,The last time you drank masato_days_1000_recently,,
cuantoduro_masateada_dias_nosabe_99,,,,
fuiste_con niños,,,,
donde_defeca_baño_1_letrina_2_monte_3,,Where do you defecate_bathroom_1_latrine_2_woods_3,,
despues_lavamanos_si_1_no_0_aveces_2,,Washes hands after going to the bathroom_yes_1_no_0_sometimes_2,,
lavamanos_jabon_si_1_no_0_nodato_-1,,Washes hands wih soap_yes_1_no_0_no data_-1,,
lavamano_otro,,Washes hands_other,,
defeca_campo_si_1_no_0_nodato_-1,,Defecates in the field_yes_1_no_0_no data_-1,,
despues_entierra_si_1_no_0_aveces_2_nodato_-1,,Buries feces after_yes_1_no_0_sometimes_2_no data -1,,
cuantasveces_lavamano,,How many times washes hands,,
donde_lavas mano_pileta_1_taza_2_quebrada_3_otros_4,,Where do you wash hands_sink_1_cup_2_brook_3_other_4,,
usajabon_si_1_nodato_-1,,Uses soap_yes_1_no data_-1,,
usa_otro,,Uses other,,
lavamanos_momentos,,,,
juegasmascotas_si_1_no_0_nosabe_2,,Play with pets_yes_1_no_0_does not know_2,,
que_mascota,,What pet,,
despues_jugar_lavamanos_si_1_no_0__nosabe_2,,After plays with pets washes hands_yes_1_no_0_doesn't know_2,,
hayrata_ratoncito_si_1_no_0_,,There are rats_yes_1_no_0,,
ultimavezcomio_picuro_ dias_hacepoco_1000,,Last time ate paca_days_recently_1000,,
ultimavezcomio_roncoso_dias,,Last time ate capybara_days,,
comoconseguiste-caza_1_compro_2_invitado_3,,How did you get it_hunting_1_bought_2_invited_3,,
tiene_perros_si_1_no_0,,Has dogs_yes_1_no_0,,
tiene_gatos_si_1_no_0,,Has cats_yes_1_no_0,,
tiene_otroanimal,,Has another animal,,
animales_cria,,Raises animals,,
#veces_comioayer,,Number of times ate yesterday,,
que_comio,,what did you eat,,
otro_comio,,,,
ultimavez_comiopescado_dias,,Last time you ate fish_days,,
quepescado,,What fish,,
comoconseguiste_pezca_1_compro_2_invitado_3_piscigranja_4,,How did you get it_fished_1_bought_2_invited_3_fish farm_4,,
ultimavez_comiocarnemonte-dias_hacepoco_1000,,Last time you ate wild game_days_recently_1000,,
quecarne,,What meat,,
comoconseguiste-caza_1_compro_2_invitado_3,,How did you get it_hunting_1_bought_2_invited_3,,
ultivezdiarrea_hace_dias_hacepoco_1000,,Last time you had diarrhea_days_recently_1000,,
cuantoduro_diarrea_dias,,How long did the diarrhea last,,
fuiste_hospital_si_1_no_0_nodato_-1,,Went to the hospital_yes_1_no_no data_-1,,
#niños_condiarrea,,Number of children with diarrhea,,
fueron_postsalud,,Went to the health post,,
#adultos_condiarrea,,Number of adults with diarrhea,,
fueron_postsalud,,Went to the health post,,
ultimavez_Tos_hace_dias,,Last time you had a cough,,
cuantoduro_tos_dias,,How long did it last in days,,
fuiste_hospital_si_1_no_0_nodato_-1,,Went to the hospital_yes_1_no_0_no data_-1,,
#niños_contos,,Number of children with cough,,
fueron_postsalud,,Went to the health post,,
#adultos_contos,,# of adults with cough,,
fueron_postsalud,,Went to the health post,,
tenido_coronavirus_si_1_no_0_sospecha_2_no sabe_3,,Had coronavirus_yes_1_no_0_suspected_2_don't know_3,,
confirmado_covid_si_1_no_0,,Confirmed Covid_yes_1_no_0,,
Rec_tra_antipara_21,,Received anti-parasite treatment 2021,,
fecha_trat21,,Date of treatment 2021,,
FECHA_INTERV2022,,Date of Visit 2022,,
Eda,,diarrhea,,
tiempo_dias,,days of diarrhea,,
c_moco_sangre,,diarrhea with bloody mucus,,
p.s,,Went to the health post,,
epi_res,,episode of respiratory illness,,
epires_duracion_dias,,number of days with respiratory illness,,
p.s,,Went to the health post,,
fecha_trat22,,Date of treatment 2022,,
FECHA_INTERV2022,,Date of visit 2022,,
Eda,,diarrhea,,
tiempo_dias,,days of diarrhea,,
c_moco_sangre,,diarrhea with bloody mucus,,
p.s,,Went to the health post,,
epi_res,,episode of respiratory illness,,
epires_duracion_dias,,number of days with respiratory illness,,
p.s,,Went to the health post,,
Toma_aguaquebrada,,drinks untreated water from brook,,
Toma_aguahervida,,drinks water that has been boiled,,
FECHA_INTERV2022,,Date of Visit 2022,,
Eda,,diarrhea,,
tiempo_dias,,days of diarrhea,,
c_moco_sangre,,diarrhea with bloody mucus,,
p.s,,Went to the health post,,
epi_res,,episode of respiratory illness,,
epires_duracion_dias,,number of days with respiratory illness,,
p.s,,Went to the health post,,
Toma_aguaquebrada,,Drinks untreated water from brook,,
Toma_aguahervida,,Drinks boiled water,,
FECHA_INTERV2022,,Date of Visit 2022,,
Eda,,diarrhea,,
tiempo_dias,,days of diarrhea,,
c_moco_sangre,,diarrhea with bloody mucus,,
p.s,,Went to the health post,,
epi_res,,episode of respiratory illness,,
epires_duracion_dias,,number of days with respiratory illness,,
p.s,,Went to the health post,,
Toma_aguaquebrada,,Drinks untreated water from brook,,
Toma_aguahervida,,Drinks boiled water,,
FECHA_INTERV2023,,Date of Intervention 2023,,
Eda,,diarrhea,,
tiempo_dias,,days of diarrhea,,
c_moco_sangre,,diarrhea with bloody mucus,,
p.s,,Went to the health post,,
epi_res,,episode of respiratory illness,,
epires_duracion_dias,,number of days with respiratory illness,,
p.s,,Went to the health post,,
Toma_aguaquebrada,,Drinks untreated water from brook,,
Toma_aguahervida,,Drinks boiled water,,
FECHA_INTERV,,Date of Visit 2 2015,,
Codigo,,Code,,
EDAD,,Age,,
Ascaris,,positive for this Ascaris (present in feces sample),,
